URL,PLAYER_NAME,Player of the match with the picture,Country that the player of the match belongs to,Runs scored by every batsman,Balls played by every batsman,Strike rate for every batsman,Wickets taken by every bowler,Economy rate for every bowler,which country won the toss,who were the umpires?,who was the match referee
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-afghanistan-24th-match-1144506/full-scorecard,Eoin Morgan,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/303900/303947.jpg",England,"26,90,88,148,2,2,31,1,9,0,37,46,76,44,9,15,8,3,0,9","31,99,82,71,2,6,9,1,7,28,74,100,48,7,13,13,10,0","83.87,90.91,107.32,208.45,100.00,33.33,344.44,100.00,0.00,132.14,62.16,76.00,91.67,128.57,115.38,61.54,30.00,0.00","0,3,0,3,0,0,0,3,0,2,0,3","4.40,8.50,7.78,6.80,9.50,12.22,4.56,5.20,5.00,4.00,3.00,6.60","England,, elected to ,bat first","Joel Wilson,Paul Reiffel",Ranjan Madugalle
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/new-zealand-vs-south-africa-25th-match-1144507/full-scorecard,Kane Williamson,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/303600/303652.png",New Zealand,"5,55,23,38,67,36,0,6,11,35,9,106,1,1,23,60,2,8","8,83,35,55,64,37,5,7,59,5,138,2,4,34,47,3","62.50,66.27,65.71,69.09,104.69,97.30,0.00,85.71,59.32,180.00,76.81,50.00,25.00,67.65,127.66,66.67","0,1,3,1,1,1,1,3,1,0","3.40,6.30,5.90,3.30,5.00,4.20,4.70,4.90,8.59,3.30","New Zealand,, elected to ,field first","Ian Gould,Nigel Llong",Richie Richardson
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/australia-vs-bangladesh-26th-match-1144508/full-scorecard,David Warner,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/263500/263541.1.jpg",Australia,"166,53,89,32,17,1,11,12,62,10,41,102,20,69,0,6,6,17","147,51,72,10,11,2,8,74,8,41,97,17,50,1,7,5","112.93,103.92,123.61,320.00,154.55,50.00,137.50,83.78,125.00,100.00,105.15,117.65,138.00,0.00,85.71,120.00","0,1,0,0,0,3,2,0,0,2,2,1","7.00,7.67,8.33,9.22,5.90,7.25,5.50,6.50,8.33,5.80,6.75,7.56","Australia,, elected to ,bat first","Michael Gough,Richard Kettleborough",Jeff Crowe
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-india-28th-match-1144510/full-scorecard,Jasprit Bumrah,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/302300/302376.jpg",India,"30,1,67,29,28,52,7,1,1,1,7,10,27,36,21,8,52,21,14,7,0,0,17","53,10,63,41,52,68,9,2,1,1,24,42,63,45,19,55,23,16,10,1,1","56.60,10.00,106.35,70.73,53.85,76.47,77.78,50.00,100.00,100.00,41.67,64.29,57.14,46.67,42.11,94.55,91.30,87.50,70.00,0.00,0.00","1,1,2,2,1,1,4,2,2,2,0","2.60,7.71,5.67,3.67,3.80,4.40,4.07,3.90,3.60,5.10,3.90","India,, elected to ,bat first","Aleem Dar,Richard Illingworth",Chris Broad
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/pakistan-vs-south-africa-30th-match-1144512/full-scorecard,Haris Sohail,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/302700/302773.jpg",Pakistan,"44,44,69,20,89,23,4,2,1,12,2,47,63,7,36,31,46,16,3,1,1,6","58,50,80,33,59,15,4,2,1,3,60,79,16,47,37,32,10,7,6,3","75.86,88.00,86.25,60.61,150.85,153.33,100.00,100.00,100.00,66.67,78.33,79.75,43.75,76.60,83.78,143.75,160.00,42.86,16.67,33.33","0,3,0,1,2,1,0,2,1,0,3,3","6.50,7.11,6.78,6.13,4.10,5.50,5.50,4.90,6.75,4.80,4.60,5.00","Pakistan,, elected to ,bat first","Joel Wilson,Kumar Dharmasena",Ranjan Madugalle
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-australia-32nd-match-1144514/full-scorecard,Aaron Finch,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/304000/304053.jpg",Australia,"100,53,23,38,12,8,38,1,4,8,0,27,8,4,89,25,26,6,25,1,1,9","116,61,29,34,8,15,27,4,6,2,39,9,7,115,27,34,9,20,4,2","86.21,86.89,79.31,111.76,150.00,53.33,140.74,25.00,66.67,0.00,69.23,88.89,57.14,77.39,92.59,76.47,66.67,125.00,25.00,50.00","2,1,1,1,1,0,5,4,0,0,1,0","4.60,6.22,6.56,4.83,7.00,4.90,4.40,4.96,5.13,4.78,4.14,7.50","England,, elected to ,field first","Chris Gaffaney,Sundaram Ravi",Ranjan Madugalle
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/new-zealand-vs-pakistan-33rd-match-1144515/full-scorecard,Babar Azam,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/302700/302768.jpg",Pakistan,"5,12,41,3,1,97,64,5,9,19,9,101,32,68,5,7","4,17,69,8,14,112,71,5,29,10,127,50,76,3","125.00,70.59,59.42,37.50,7.14,86.61,90.14,100.00,65.52,90.00,79.53,64.00,89.47,166.67","0,1,3,0,1,0,1,0,1,0,0,0,1,0","3.14,6.70,2.80,5.67,4.30,5.50,4.80,3.57,6.12,6.00,3.80,6.67,4.88,9.00","New Zealand,, elected to ,bat first","Bruce Oxenford,Paul Reiffel",Richie Richardson
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/afghanistan-vs-pakistan-36th-match-1144518/full-scorecard,Imad Wasim,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/302800/302871.jpg",Pakistan,"35,15,0,24,42,16,42,19,8,1,7,18,0,36,45,19,27,18,49,11,15,10","43,12,1,66,35,33,54,32,12,3,9,2,51,51,35,57,22,54,17,9","81.40,125.00,0.00,36.36,120.00,48.48,77.78,59.38,66.67,33.33,77.78,0.00,70.59,88.24,54.29,47.37,81.82,90.74,64.71,166.67","2,0,4,0,2,1,2,0,0,2,1,0","4.80,4.10,4.70,5.00,3.63,4.40,3.40,6.50,7.55,2.30,5.00,4.00","Afghanistan,, elected to ,bat first","Nigel Llong,Paul Wilson",Chris Broad
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/india-vs-west-indies-34th-match-1144516/full-scorecard,Virat Kohli,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/289000/289002.1.jpg",India,"48,18,72,14,7,56,46,0,0,7,6,31,5,28,18,6,1,0,14,10,6,18","64,23,82,19,10,61,38,2,1,19,40,10,50,29,13,5,1,21,8,11","75.00,78.26,87.80,73.68,70.00,91.80,121.05,0.00,0.00,31.58,77.50,50.00,56.00,62.07,46.15,20.00,0.00,66.67,125.00,54.55","2,3,0,0,2,0,4,2,1,1,0,2","5.00,3.60,9.00,5.20,3.30,11.00,2.53,1.50,5.60,3.89,4.00,5.57","India,, elected to ,bat first","Richard Illingworth,Richard Kettleborough",Chris Broad
https://www.espncricinfo.com/series/icc-cricket-world-cup-2019-1144415/england-vs-india-38th-match-1144520/full-scorecard,Jonny Bairstow,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100/lsci/db/PICTURES/CMS/304900/304906.jpg",England,"66,111,44,1,79,20,7,1,0,8,0,102,66,32,45,42,12,7","57,109,54,9,54,8,5,4,0,9,109,76,29,33,31,13","115.79,101.83,81.48,11.11,146.30,250.00,140.00,25.00,0.00,0.00,93.58,86.84,110.34,136.36,135.48,92.31","5,1,0,0,1,2,0,3,0,0,0","6.90,4.40,8.80,6.00,7.20,5.80,4.50,5.50,7.30,6.67,8.50","England,, elected to ,bat first","Aleem Dar,Kumar Dharmasena",Ranjan Madugalle
